TOWN,Year,kWh Usage: Commercial,kWh Usage: Residential,kWh Savings: Commercial,kWh Savings: Residential,Number of Households,Average Residential kWh Usage/ Household,Average Residential kWh Savings/ Household,Savings as % of Usage,MMBtu Savings: Commercial,MMBtu Savings: Residential
SUNDERLAND,01/01/2011 12:00:00 AM,1194388,3117187,307,17496,445,7005,39,1%,0,12
SUTTON,01/01/2011 12:00:00 AM,1533414,3011770,66997,83928,441,6829,190,3%,27,35
SWANTON,01/01/2011 12:00:00 AM,19775162,24939245,1118977,681470,3187,7825,214,3%,-1138,69
TAFTSVILLE,01/01/2011 12:00:00 AM,43620,43506,0,6976,5,8701,1395,16%,0,16
THETFORD,01/01/2011 12:00:00 AM,3689425,8957173,26714,104156,1299,6895,80,1%,11,463
TINMOUTH,01/01/2011 12:00:00 AM,94115,1344844,0,20788,212,6344,98,2%,0,95
TOWNSHEND,01/01/2011 12:00:00 AM,3440540,3789636,4038,25112,594,6380,42,1%,131,0
TROY,01/01/2011 12:00:00 AM,2894067,4717974,0,52861,814,5796,65,1%,0,5
TUNBRIDGE,01/01/2011 12:00:00 AM,999681,4435546,3740,56582,724,6126,78,1%,14,-4
UNDERHILL,01/01/2011 12:00:00 AM,1288940,9646959,1842,290304,1242,7767,234,3%,86,281
VERGENNES,01/01/2011 12:00:00 AM,16791849,11119202,329240,387717,1289,8626,301,3%,6033,304
VERNON,01/01/2011 12:00:00 AM,10096383,7637536,147878,41934,865,8830,48,1%,-137,134
VERSHIRE,01/01/2011 12:00:00 AM,346886,2018794,0,15965,379,5327,42,1%,0,0
VICTORY,01/01/2011 12:00:00 AM,23042,211525,0,1381,64,3305,22,1%,0,0
WAITSFIELD,01/01/2011 12:00:00 AM,10857478,7933589,75416,311287,1135,6990,274,4%,7,407
WALDEN,01/01/2011 12:00:00 AM,28001,291983,0,243,97,3010,3,0%,0,0
WALLINGFORD,01/01/2011 12:00:00 AM,3670611,7604203,35758,99145,907,8384,109,1%,-27,414
WALTHAM,01/01/2011 12:00:00 AM,55469,2070095,0,40094,207,10000,194,2%,0,17
WARDSBORO,01/01/2011 12:00:00 AM,341155,1837603,438,25404,323,5689,79,1%,78,160
WARREN,01/01/2011 12:00:00 AM,19454761,19316674,534802,162923,2790,6924,58,1%,-3,315
WASHINGTON,01/01/2011 12:00:00 AM,432809,3614078,0,41422,498,7257,83,1%,0,51
WATERBURY,01/01/2011 12:00:00 AM,36713995,16883783,593830,560727,2501,6751,224,3%,199,1066
WATERBURY CENTER,01/01/2011 12:00:00 AM,866778,2429002,18986,104852,342,7102,307,4%,13,342
WATERFORD,01/01/2011 12:00:00 AM,590821,2415719,779,34831,295,8189,118,1%,0,37
WATERVILLE,01/01/2011 12:00:00 AM,206339,1748419,307,22926,324,5396,71,1%,29,0
WEATHERSFIELD,01/01/2011 12:00:00 AM,1115528,7035792,0,22009,929,7574,24,0%,0,97
WEBSTERVILLE,01/01/2011 12:00:00 AM,3356967,1812264,51298,19252,275,6590,70,1%,-44,2
WELLS,01/01/2011 12:00:00 AM,667858,5105668,18636,25898,826,6181,31,1%,0,32
WELLS RIVER,01/01/2011 12:00:00 AM,466137,311725,9450,7212,69,4518,105,2%,-4,44
WEST BERLIN,01/01/2011 12:00:00 AM,0,112640,0,5801,13,8665,446,5%,0,0
WEST BURKE,01/01/2011 12:00:00 AM,134946,1919097,36536,80900,391,4908,207,4%,-32,-135
WEST CHARLESTON,01/01/2011 12:00:00 AM,85411,698285,0,45221,123,5677,368,6%,0,-2
WEST DANVILLE,01/01/2011 12:00:00 AM,111168,939684,0,41624,136,6909,306,4%,0,48
WEST DOVER,01/01/2011 12:00:00 AM,20499168,16871798,30488,137320,2628,6420,52,1%,21,109
WEST DUMMERSTON,01/01/2011 12:00:00 AM,295384,2529878,0,24760,366,6912,68,1%,0,45
WEST FAIRLEE,01/01/2011 12:00:00 AM,396432,2113669,2803,11554,319,6626,36,1%,-2,44
WEST HALIFAX,01/01/2011 12:00:00 AM,0,43983,0,874,7,6283,125,2%,0,0
WEST HARTFORD,01/01/2011 12:00:00 AM,115059,1452072,398,58352,178,8158,328,4%,16,29
WEST HAVEN,01/01/2011 12:00:00 AM,34896,662025,0,12272,64,10344,192,2%,0,29
WEST NEWBURY,01/01/2011 12:00:00 AM,39,219990,0,8953,31,7096,289,4%,0,0
WEST PAWLET,01/01/2011 12:00:00 AM,465526,1712903,9525,5465,220,7786,25,0%,56,2
WEST RUTLAND,01/01/2011 12:00:00 AM,5230813,7431194,241232,170722,1075,6913,159,2%,17,340
WEST TOPSHAM,01/01/2011 12:00:00 AM,13462,273961,411,35160,48,5708,733,13%,0,89
WEST TOWNSHEND,01/01/2011 12:00:00 AM,118717,1352305,0,44688,193,7007,232,3%,0,-4
WEST WARDSBORO,01/01/2011 12:00:00 AM,208122,2768832,0,34316,510,5429,67,1%,0,29
WEST WINDSOR,01/01/2011 12:00:00 AM,2060503,4605143,50840,32151,655,7031,49,1%,-45,56
WEST WOODBURY,01/01/2011 12:00:00 AM,0,96103,0,89,17,5653,5,0%,0,0
WESTFIELD,01/01/2011 12:00:00 AM,647821,1852389,7291,31729,317,5843,100,2%,-7,-1
WESTFORD,01/01/2011 12:00:00 AM,664432,6324880,1207,222750,830,7620,268,4%,0,84
WESTMINSTER,01/01/2011 12:00:00 AM,5414907,9512145,67717,96725,1304,7295,74,1%,317,420
WESTMINSTER STATION,01/01/2011 12:00:00 AM,166064,634366,0,1106,19,33388,58,0%,0,-1
WESTMORE,01/01/2011 12:00:00 AM,48260,242922,0,544,89,2729,6,0%,0,0
WESTON,01/01/2011 12:00:00 AM,1230258,3614932,72770,42652,553,6537,77,1%,-54,135
WEYBRIDGE,01/01/2011 12:00:00 AM,145642,797664,98373,10836,95,8396,114,1%,-8,0
WHEELOCK,01/01/2011 12:00:00 AM,137344,505781,855,1632,77,6569,21,0%,-1,0
WHITE RIVER JUNCTION,01/01/2011 12:00:00 AM,13040018,7464059,292511,746220,1176,6347,635,10%,-64,56
WHITING,01/01/2011 12:00:00 AM,227223,1759727,314,97883,174,10113,563,6%,0,4
WHITINGHAM,01/01/2011 12:00:00 AM,777185,3063802,0,12183,490,6253,25,0%,0,1
WILDER,01/01/2011 12:00:00 AM,3551315,3999161,17001,68866,653,6124,105,2%,-13,36
WILLIAMSTOWN,01/01/2011 12:00:00 AM,4053197,10839064,38223,163656,1438,7538,114,2%,206,229
WILLIAMSVILLE,01/01/2011 12:00:00 AM,52733,715745,0,11208,121,5915,93,2%,0,47
WILLISTON,01/01/2011 12:00:00 AM,85699890,26170974,1252456,1680364,3508,7460,479,6%,-939,455
WILMINGTON,01/01/2011 12:00:00 AM,7335047,18070506,32030,200297,2586,6988,77,1%,175,269
WINDHAM,01/01/2011 12:00:00 AM,141359,1553694,0,7885,294,5285,27,1%,0,33
WINDSOR,01/01/2011 12:00:00 AM,15483481,11623716,232326,305581,1655,7023,185,3%,-153,92
WINHALL,01/01/2011 12:00:00 AM,1081911,12004149,26025,11432,1318,9108,9,0%,40,59
WINOOSKI,01/01/2011 12:00:00 AM,27018338,16791981,230683,833730,3012,5575,277,5%,443,12
WOLCOTT,01/01/2011 12:00:00 AM,1128929,4884784,55043,90654,726,6728,125,2%,-40,-2
WOODBURY,01/01/2011 12:00:00 AM,358318,2531217,307,9778,412,6144,24,0%,0,2
WOODFORD,01/01/2011 12:00:00 AM,395453,926860,300,68,215,4311,0,0%,0,19
WOODSTOCK,01/01/2011 12:00:00 AM,14950853,12873598,253601,173251,1833,7023,95,1%,250,476
WORCESTER,01/01/2011 12:00:00 AM,484702,3172223,26691,61169,488,6500,125,2%,-24,192
ADDISON,01/01/2010 12:00:00 AM,3127784,3800916,25257,105989,475,8002,223,3%,-4,101
ALBANY       ,01/01/2010 12:00:00 AM,550939,2829254,12432,22360,481,5882,46,1%,-12,2
ALBURG,01/01/2010 12:00:00 AM,3830196,8055942,55157,121923,1313,6136,93,2%,94,171
ANDOVER,01/01/2010 12:00:00 AM,24930,1651869,0,14938,276,5985,54,1%,0,93
ARLINGTON,01/01/2010 12:00:00 AM,16707377,10111021,100179,306008,1442,7012,212,3%,125,321
ATHENS,01/01/2010 12:00:00 AM,66343,519425,0,2109,96,5411,22,0%,0,0
AVERILL,01/01/2010 12:00:00 AM,23520,81616,0,188,49,1666,4,0%,0,19
BAKERSFIELD,01/01/2010 12:00:00 AM,607333,2979296,5359,74338,391,7620,190,2%,10,45
BALTIMORE,01/01/2010 12:00:00 AM,5878,224068,0,1128,33,6790,34,1%,0,4
BARNARD,01/01/2010 12:00:00 AM,1283400,4271871,617,25285,628,6802,40,1%,0,3
BARNET,01/01/2010 12:00:00 AM,1735221,5590302,8032,77808,856,6531,91,1%,-6,8
BARRE,01/01/2010 12:00:00 AM,57399734,54913037,1966856,1884555,7829,7014,241,3%,540,1137
BARTON,01/01/2010 12:00:00 AM,3778000,6528196,223062,111026,1243,5252,89,2%,-3,64
BELVIDERE,01/01/2010 12:00:00 AM,68294,1025310,0,22458,181,5665,124,2%,0,0
BENNINGTON,01/01/2010 12:00:00 AM,102268710,43360006,2412206,1679776,6319,6862,266,4%,2325,-1
BENSON,01/01/2010 12:00:00 AM,531438,1535929,0,28816,284,5408,101,2%,0,-3
BERKSHIRE  ,01/01/2010 12:00:00 AM,3031462,5005280,2796,30770,592,8455,52,1%,0,6
BERLIN,01/01/2010 12:00:00 AM,37726441,7049193,370596,220456,920,7662,240,3%,616,97
BETHEL,01/01/2010 12:00:00 AM,17592726,6231506,79914,93555,922,6759,101,2%,-5,72
BLOOMFIELD,01/01/2010 12:00:00 AM,235528,743744,0,3574,139,5351,26,0%,0,0
BOLTON,01/01/2010 12:00:00 AM,2736045,3994839,19,9462,565,7071,17,0%,0,3
BRADFORD,01/01/2010 12:00:00 AM,8993833,7840484,219660,260630,1198,6545,218,3%,66,-49
BRAINTREE,01/01/2010 12:00:00 AM,447347,1268224,0,36775,203,6247,181,3%,0,-7
BRANDON,01/01/2010 12:00:00 AM,10750439,15678445,49770,359702,2255,6953,160,2%,-33,100
BRATTLEBORO,01/01/2010 12:00:00 AM,126148398,39004380,3194181,1279045,6175,6316,207,3%,920,625
BRIDGEWATER,01/01/2010 12:00:00 AM,3629790,3917364,6300,52849,563,6958,94,1%,0,98
BRIDPORT,01/01/2010 12:00:00 AM,1712394,5701790,14739,75390,555,10273,136,1%,0,-6
BRISTOL,01/01/2010 12:00:00 AM,9115156,15038125,173669,425037,2060,7300,206,3%,39,365
BROOKFIELD,01/01/2010 12:00:00 AM,554229,4365919,30163,64952,639,6832,102,1%,0,106
BROOKLINE,01/01/2010 12:00:00 AM,74769,827977,0,5549,154,5376,36,1%,0,77
BROWNINGTON,01/01/2010 12:00:00 AM,551736,2219713,25758,40871,353,6288,116,2%,-20,-2
BRUNSWICK,01/01/2010 12:00:00 AM,278631,299581,0,3572,50,5992,71,1%,0,1
BUELS GORE,01/01/2010 12:00:00 AM,0,14155,0,56,5,2831,11,0%,0,0
BURKE,01/01/2010 12:00:00 AM,2769606,7675457,81906,71948,1371,5598,52,1%,-54,78
BURLINGTON *,01/01/2010 12:00:00 AM,264825104,85671376,4014000,2448000,16068,5332,152,3%,0,66
CABOT,01/01/2010 12:00:00 AM,12333047,4444481,243164,97544,668,6653,146,2%,-177,89
CALAIS,01/01/2010 12:00:00 AM,542241,4445127,2729,146614,782,5684,187,3%,0,501
CAMBRIDGE,01/01/2010 12:00:00 AM,12885287,14111903,200220,341008,2026,6965,168,2%,-87,215
CANAAN     ,01/01/2010 12:00:00 AM,7600531,2866719,0,8363,531,5399,16,0%,0,1
CASTLETON,01/01/2010 12:00:00 AM,12301560,12971385,195986,318357,1834,7073,174,2%,-22,-16
CAVENDISH,01/01/2010 12:00:00 AM,4546759,3723920,299,56235,596,6248,94,2%,0,5
CHARLESTON,01/01/2010 12:00:00 AM,1246802,3204314,29767,39289,588,5450,67,1%,0,-3
CHARLOTTE,01/01/2010 12:00:00 AM,3261498,15550450,62169,602569,1756,8856,343,4%,-59,345
CHELSEA,01/01/2010 12:00:00 AM,2027566,3800521,2260,55953,625,6081,90,1%,-1,53
CHESTER,01/01/2010 12:00:00 AM,6900347,13461816,120835,184012,1987,6775,93,1%,676,144
CHITTENDEN,01/01/2010 12:00:00 AM,1140899,4706982,1896,50342,637,7389,79,1%,0,26
CLARENDON,01/01/2010 12:00:00 AM,12832618,9319868,286890,120695,1135,8211,106,1%,-87,104
COLCHESTER,01/01/2010 12:00:00 AM,83867155,49724884,1526325,5440150,7035,7068,773,11%,296,-716
CONCORD,01/01/2010 12:00:00 AM,1078848,5620263,30297,53332,848,6628,63,1%,-14,0
CORINTH,01/01/2010 12:00:00 AM,1110223,7257731,576,93590,1268,5724,74,1%,0,117
CORNWALL,01/01/2010 12:00:00 AM,204440,1611520,13572,57049,175,9209,326,4%,-4,29
COVENTRY,01/01/2010 12:00:00 AM,2197482,3420109,3528,31733,471,7261,67,1%,-1,2
CRAFTSBURY,01/01/2010 12:00:00 AM,1025029,3798398,79635,143203,561,6771,255,4%,0,5
DANBY,01/01/2010 12:00:00 AM,1497143,5857725,0,51330,750,7810,68,1%,0,190
DANVILLE,01/01/2010 12:00:00 AM,3504003,9023397,41036,172280,1327,6800,130,2%,2,58
DERBY,01/01/2010 12:00:00 AM,23297067,14769834,268869,310579,2354,6274,132,2%,-129,44
DORSET,01/01/2010 12:00:00 AM,3846542,12685823,36544,156643,1368,9273,115,1%,6,313
DOVER,01/01/2010 12:00:00 AM,25040240,19370217,240607,102588,3103,6242,33,1%,-45,158
DUMMERSTON,01/01/2010 12:00:00 AM,2781557,6078307,1598,54672,817,7440,67,1%,0,126
DUXBURY,01/01/2010 12:00:00 AM,529525,943289,10172,42759,162,5823,264,5%,-5,48
EAST HAVEN,01/01/2010 12:00:00 AM,63774,853223,237,2585,145,5884,18,0%,0,0
EAST MONTPELIER,01/01/2010 12:00:00 AM,2670230,7975877,76939,239041,1101,7244,217,3%,22,351
EDEN,01/01/2010 12:00:00 AM,642996,4011924,19385,31409,651,6163,48,1%,-16,-1
ELMORE,01/01/2010 12:00:00 AM,3833,344435,0,8895,62,5555,143,3%,0,74
ENOSBURG FALLS,01/01/2010 12:00:00 AM,12259719,12899628,36642,588650,1481,8710,397,5%,-603,1826
ESSEX,01/01/2010 12:00:00 AM,44203825,30656440,809186,684907,3951,7759,173,2%,-612,534
ESSEX JUNCTION,01/01/2010 12:00:00 AM,24110961,26841891,1290682,1452868,4029,6662,361,5%,-413,-29
FAIR HAVEN,01/01/2010 12:00:00 AM,8319176,11447317,129397,353515,1430,8005,247,3%,-16,39
FAIRFAX,01/01/2010 12:00:00 AM,4982082,13650708,68696,386374,1744,7827,222,3%,14,511
FAIRFIELD,01/01/2010 12:00:00 AM,2537065,7300025,56212,172329,879,8305,196,2%,-5,173
FAIRLEE,01/01/2010 12:00:00 AM,6460418,3856999,27119,89556,560,6887,160,2%,-7,-1
FAYSTON,01/01/2010 12:00:00 AM,1493905,4239528,0,8944,647,6553,14,0%,0,131
FERDINAND,01/01/2010 12:00:00 AM,24592,88762,0,0,21,4227,0,0%,0,0
FERRISBURGH,01/01/2010 12:00:00 AM,7679327,11339664,188999,343658,1439,7880,239,3%,-74,8
FLETCHER,01/01/2010 12:00:00 AM,510463,4292019,578,19794,557,7706,36,0%,1,13
FRANKLIN,01/01/2010 12:00:00 AM,2397377,4591637,94605,86406,756,6074,114,2%,1,12
GEORGIA,01/01/2010 12:00:00 AM,26144004,13968967,194417,167276,1694,8246,99,1%,-56,63
GLOVER,01/01/2010 12:00:00 AM,1393110,3630807,15918,46959,706,5143,67,1%,27,-6
GOSHEN,01/01/2010 12:00:00 AM,99671,192587,0,1450,43,4479,34,1%,0,1
GRAFTON,01/01/2010 12:00:00 AM,1383020,3137906,28918,11596,459,6836,25,0%,0,46
GRANBY,01/01/2010 12:00:00 AM,11523,251478,993,952,52,4836,18,0%,-1,53
GRAND ISLE,01/01/2010 12:00:00 AM,3879653,7773415,86459,167717,1102,7054,152,2%,17,291
GRANVILLE,01/01/2010 12:00:00 AM,101811,1074692,0,11578,201,5347,58,1%,0,78
GREENSBORO,01/01/2010 12:00:00 AM,1769592,3181563,6102,148415,487,6533,305,5%,179,75
GROTON,01/01/2010 12:00:00 AM,594338,3450385,0,28174,638,5408,44,1%,0,-1
GUILDHALL,01/01/2010 12:00:00 AM,214771,858249,7943,6062,131,6552,46,1%,-1,-1
GUILFORD,01/01/2010 12:00:00 AM,756950,2186646,13540,12126,338,6469,36,1%,-7,207
HALIFAX,01/01/2010 12:00:00 AM,273085,2981525,0,10579,505,5904,21,0%,0,6
HANCOCK,01/01/2010 12:00:00 AM,317612,1299891,12085,4463,205,6341,22,0%,-1,47
HARDWICK,01/01/2010 12:00:00 AM,4989435,10983512,50307,547944,1692,6491,324,5%,-24,-95
HARTFORD,01/01/2010 12:00:00 AM,58195062,42199019,891164,1134452,5589,7550,203,3%,1356,51
HARTLAND,01/01/2010 12:00:00 AM,2768794,11375299,9403,126054,1510,7533,83,1%,16,276
HIGHGATE,01/01/2010 12:00:00 AM,2903862,4817831,169761,263821,1635,2947,161,5%,-37,70
HINESBURG,01/01/2010 12:00:00 AM,6648938,13567080,70626,320806,1869,7259,172,2%,277,558
HOLLAND,01/01/2010 12:00:00 AM,1125348,2022831,101250,3289,358,5650,9,0%,0,1
HUBBARDTON,01/01/2010 12:00:00 AM,378910,2677641,0,20906,520,5149,40,1%,0,3
HUNTINGTON,01/01/2010 12:00:00 AM,641563,6125075,27983,108280,811,7552,134,2%,0,345
HYDE PARK,01/01/2010 12:00:00 AM,3301855,9468733,55163,367120,1329,7125,276,4%,-42,71
IRA,01/01/2010 12:00:00 AM,96800,1382221,0,5965,179,7722,33,0%,0,2
IRASBURG,01/01/2010 12:00:00 AM,2383986,3336863,60364,60363,473,7055,128,2%,142,-2
ISLAND POND,01/01/2010 12:00:00 AM,2092075,3925802,40158,115468,816,4811,142,3%,-30,-15
ISLE LA MOTTE,01/01/2010 12:00:00 AM,705848,2602556,865,14469,460,5658,31,1%,0,0
JAMAICA,01/01/2010 12:00:00 AM,1237008,6660347,2368,43215,998,6674,43,1%,0,-1
JAY,01/01/2010 12:00:00 AM,7636393,3124995,733559,25811,670,4664,39,1%,2265,-9
JERICHO,01/01/2010 12:00:00 AM,5827812,15456057,399495,421265,1911,8088,220,3%,3596,161
JOHNSON,01/01/2010 12:00:00 AM,9313884,8950877,384156,262376,1320,6781,199,3%,-151,180
KILLINGTON,01/01/2010 12:00:00 AM,41499291,16527326,287178,299052,2561,6453,117,2%,1229,-41
LANDGROVE,01/01/2010 12:00:00 AM,192488,1195208,0,13349,125,9562,107,1%,0,204
LEICESTER,01/01/2010 12:00:00 AM,172430,2234980,6863,6595,370,6040,18,0%,-6,1
LEMINGTON,01/01/2010 12:00:00 AM,9757,410627,0,867,73,5625,12,0%,0,0
LINCOLN,01/01/2010 12:00:00 AM,228568,871189,5921,5675,142,6135,40,1%,-3,77
LONDONDERRY,01/01/2010 12:00:00 AM,4718419,10358134,59197,176637,1376,7528,128,2%,247,222
LOWELL,01/01/2010 12:00:00 AM,385577,2688973,15133,36671,401,6706,91,1%,-12,-2
LUDLOW,01/01/2010 12:00:00 AM,24622127,17643449,281281,486561,3659,4822,133,3%,-42,36
LUNENBURG,01/01/2010 12:00:00 AM,681617,4684919,29968,26800,755,6205,35,1%,329,1
LYNDON,01/01/2010 12:00:00 AM,25763068,16879873,397267,309568,2564,6583,121,2%,-264,35
MAIDSTONE,01/01/2010 12:00:00 AM,200865,1029660,12559,1987,265,3886,7,0%,0,0
MANCHESTER,01/01/2010 12:00:00 AM,32230993,21331744,1056180,645268,2542,8392,254,3%,280,614
MARLBORO,01/01/2010 12:00:00 AM,1262541,2758751,4120,62540,498,5540,126,2%,-2,115
MARSHFIELD,01/01/2010 12:00:00 AM,1239308,4579612,5923,100708,688,6656,146,2%,-4,300
MENDON,01/01/2010 12:00:00 AM,1309027,2830775,48510,169049,413,6854,409,6%,-114,383
MIDDLEBURY,01/01/2010 12:00:00 AM,85100808,25564653,1120392,929343,3501,7302,265,4%,2795,767
MIDDLESEX,01/01/2010 12:00:00 AM,870079,1892436,77800,52355,254,7451,206,3%,387,222
MIDDLETOWN SPRINGS,01/01/2010 12:00:00 AM,415821,2668782,0,31655,394,6774,80,1%,0,120
MILTON,01/01/2010 12:00:00 AM,34938456,33593558,1936786,1228843,4262,7882,288,4%,1349,507
MONKTON,01/01/2010 12:00:00 AM,790178,6972838,6457,65319,827,8431,79,1%,-6,125
MONTGOMERY,01/01/2010 12:00:00 AM,1517113,4533534,5394,100279,697,6504,144,2%,31,72
MONTPELIER,01/01/2010 12:00:00 AM,58431419,25734114,1577982,1510065,4390,5862,344,6%,3138,2814
MORETOWN,01/01/2010 12:00:00 AM,1556920,5995710,23606,171044,915,6553,187,3%,-2,357
MORGAN,01/01/2010 12:00:00 AM,550127,2780523,0,45639,681,4083,67,2%,0,-9
MORRISTOWN,01/01/2010 12:00:00 AM,23739571,19141129,453290,824996,2780,6885,297,4%,-160,-4
MOUNT HOLLY,01/01/2010 12:00:00 AM,626585,6219396,14385,83500,992,6270,84,1%,-9,221
MOUNT TABOR,01/01/2010 12:00:00 AM,190468,507541,0,444,64,7930,7,0%,0,46
NEW HAVEN,01/01/2010 12:00:00 AM,3695280,6903233,5202,165265,732,9431,226,2%,-3,59
NEWARK,01/01/2010 12:00:00 AM,14979,260221,0,1276,92,2828,14,0%,0,0
NEWBURY,01/01/2010 12:00:00 AM,3660512,7283022,39189,132520,1216,5989,109,2%,10,6
NEWFANE,01/01/2010 12:00:00 AM,1455357,7643248,8066,155930,1153,6629,135,2%,-8,204
NEWPORT,01/01/2010 12:00:00 AM,33771035,17050946,736689,665547,2833,6019,235,4%,553,36
NORTH HERO,01/01/2010 12:00:00 AM,1614479,4246490,10960,97732,859,4944,114,2%,0,0
NORTHFIELD,01/01/2010 12:00:00 AM,26541247,13131581,132496,336251,2049,6409,164,3%,326,-52
NORTON,01/01/2010 12:00:00 AM,389294,656540,0,7835,184,3568,43,1%,0,0
NORWICH,01/01/2010 12:00:00 AM,4147219,12432221,202434,191702,1578,7878,121,2%,-5,404
ORANGE,01/01/2010 12:00:00 AM,622261,410948,0,8869,50,8219,177,2%,0,1
ORLEANS,01/01/2010 12:00:00 AM,8654277,5106247,139901,93516,820,6227,114,2%,-27,-16
ORWELL,01/01/2010 12:00:00 AM,1034393,5174297,41748,58547,599,8638,98,1%,551,43
PANTON,01/01/2010 12:00:00 AM,1173731,2951145,8394,24539,280,10540,88,1%,-1,-1
PAWLET,01/01/2010 12:00:00 AM,1889202,6372710,16080,107844,730,8730,148,2%,12,207
PEACHAM,01/01/2010 12:00:00 AM,426153,2740403,0,23117,454,6036,51,1%,0,201
PERU,01/01/2010 12:00:00 AM,5547072,9078576,48859,100853,1061,8557,95,1%,-36,71
PITTSFIELD,01/01/2010 12:00:00 AM,826375,2674104,2865,21234,403,6635,53,1%,0,-1
PITTSFORD,01/01/2010 12:00:00 AM,2548980,8897488,82138,183471,1246,7141,147,2%,44,68
PLAINFIELD,01/01/2010 12:00:00 AM,1667810,4185595,10701,163698,683,6128,240,4%,-6,499
PLYMOUTH,01/01/2010 12:00:00 AM,1296962,5046515,34215,52260,640,7885,82,1%,279,30
POMFRET,01/01/2010 12:00:00 AM,1033834,4106415,39253,28950,537,7647,54,1%,-6,49
POULTNEY,01/01/2010 12:00:00 AM,9950318,12881064,41744,266547,1841,6997,145,2%,-4,30
POWNAL,01/01/2010 12:00:00 AM,2378303,11254474,9873,126877,1525,7380,83,1%,-8,37
PROCTOR,01/01/2010 12:00:00 AM,245882,1569327,6987,110902,998,1572,111,7%,-3,64
PUTNEY,01/01/2010 12:00:00 AM,26764549,8154088,833200,332654,1191,6846,279,4%,-236,417
RANDOLPH,01/01/2010 12:00:00 AM,37089653,16961887,185248,661280,2375,7142,278,4%,176,332
READING,01/01/2010 12:00:00 AM,675106,2778347,779,28795,391,7106,74,1%,0,2
READSBORO,01/01/2010 12:00:00 AM,781548,3415494,3392,78228,921,3708,85,2%,-2,47
RICHFORD,01/01/2010 12:00:00 AM,11773266,6886670,243158,173265,994,6928,174,3%,1068,-31
RICHMOND,01/01/2010 12:00:00 AM,5748836,13186342,445332,342033,1685,7826,203,3%,-82,361
RIPTON,01/01/2010 12:00:00 AM,959685,1789731,0,38940,292,6129,133,2%,0,97
ROCHESTER,01/01/2010 12:00:00 AM,1835358,4364471,17435,53083,727,6003,73,1%,-18,99
ROCKINGHAM,01/01/2010 12:00:00 AM,17254110,16507565,443947,117660,2347,7033,50,1%,-16,5
ROXBURY,01/01/2010 12:00:00 AM,401834,2014094,11193,20993,340,5924,62,1%,-6,-2
ROYALTON,01/01/2010 12:00:00 AM,8947098,8407701,106682,134243,1315,6394,102,2%,-45,46
RUPERT,01/01/2010 12:00:00 AM,408542,3580746,0,23427,423,8465,55,1%,0,231
RUTLAND,01/01/2010 12:00:00 AM,171110656,63486531,5294951,3024069,8950,7093,338,5%,3192,319
RUTLAND TOWN,01/01/2010 12:00:00 AM,3948122,1289899,106939,25219,199,6482,127,2%,-102,112
RYEGATE,01/01/2010 12:00:00 AM,982401,3967530,273997,17816,563,7047,32,0%,-23,0
SALISBURY,01/01/2010 12:00:00 AM,1390805,4868538,5796,93362,601,8101,155,2%,-6,228
SANDGATE,01/01/2010 12:00:00 AM,24819,757121,0,4112,164,4617,25,1%,0,1
SEARSBURG,01/01/2010 12:00:00 AM,94632,439343,785,495,84,5230,6,0%,0,0
SHAFTSBURY,01/01/2010 12:00:00 AM,5353308,12898647,75555,194518,1659,7775,117,2%,-10,106
SHARON,01/01/2010 12:00:00 AM,1843944,4642116,7334,35225,647,7175,54,1%,0,0
SHEFFIELD,01/01/2010 12:00:00 AM,232825,2096951,72,22306,311,6743,72,1%,0,-1
SHELBURNE,01/01/2010 12:00:00 AM,26137659,24960668,700031,932337,2806,8895,332,4%,-583,232
SHELDON,01/01/2010 12:00:00 AM,57761882,7114537,425339,420576,779,9133,540,6%,-6,51
SHOREHAM,01/01/2010 12:00:00 AM,2835670,5616969,54573,106019,604,9300,176,2%,-4,11
SHREWSBURY,01/01/2010 12:00:00 AM,659735,4086923,9262,65355,534,7653,122,2%,-5,639
SOMERSET,01/01/2010 12:00:00 AM,0,3043,0,0,1,3043,0,0%,0,0
SOUTH BURLINGTON,01/01/2010 12:00:00 AM,170491648,53327322,4518747,4106093,7867,6779,522,8%,-2035,1739
SOUTH HERO,01/01/2010 12:00:00 AM,2881925,6800114,63303,176210,1032,6589,171,3%,-13,264
SPRINGFIELD,01/01/2010 12:00:00 AM,42407178,27984267,473455,289805,4085,6850,71,1%,-295,102
ST. ALBANS,01/01/2010 12:00:00 AM,113602380,38802671,2935650,1601462,5722,6781,280,4%,-757,1121
ST. GEORGE,01/01/2010 12:00:00 AM,425322,2079775,7278,17431,293,7098,59,1%,-1,78
ST. JOHNSBURY,01/01/2010 12:00:00 AM,58690633,23484271,747960,613806,3610,6505,170,3%,1677,71
STAMFORD,01/01/2010 12:00:00 AM,749269,2966101,18822,20058,418,7096,48,1%,-16,72
STANNARD,01/01/2010 12:00:00 AM,0,145555,0,1562,20,7278,78,1%,0,1
STARKSBORO,01/01/2010 12:00:00 AM,748519,6084934,9833,55259,776,7841,71,1%,0,64
STOCKBRIDGE,01/01/2010 12:00:00 AM,620055,3259180,392,15365,485,6720,32,0%,0,3
STOWE,01/01/2010 12:00:00 AM,57407272,24246582,1728597,542802,3684,6582,147,2%,2212,263
STRAFFORD,01/01/2010 12:00:00 AM,727281,3368838,24609,31853,531,6344,60,1%,41,1
