Store_Name,Address,Address Line #2,City,State,Zip,Zip4,County,Location 1
5 Corners Variety,39 Park St,,Essex Junction,VT,5452,3589,CHITTENDEN ,"(44.48774, -73.112892)"
Lunenburg Farmers Market,Lunenburg Town Common,,Lunenburg,VT,5906,,ESSEX ,"(44.482613, -71.715714)"
Costco Wholesale 0314,218 Lower Mountain View Dr,,Colchester,VT,5446,5830,CHITTENDEN ,"(44.505672, -73.176903)"
Downhome Deli/Market,51 Ossie Rd,,Middlebury,VT,5753,8670,ADDISON ,"(43.972157, -73.108353)"
Putney Road Market,3 1/2 Putney Rd,,Brattleboro,VT,5301,6206,WINDHAM ,"(42.856026, -72.559837)"
Hometown Beverage & Redemption Inc,70 S Main St,,Saint Albans,VT,5478,2230,FRANKLIN ,"(44.808598, -73.083946)"
North Bennington Variety,49 Route 67 W,,North Bennington,VT,5257,9100,BENNINGTON ,"(42.934486, -73.25032)"
Enosburg Short Stop 127,182 Main St,,Enosburg Falls,VT,5450,5949,FRANKLIN ,"(44.905003, -72.806145)"
Swanton Short Stop 111,97 1st St,,Swanton,VT,5488,1118,FRANKLIN ,"(44.920788, -73.115059)"
Jolley Saints 112,2861 VT Route 105,,East Berkshire,VT,5447,9701,FRANKLIN ,"(44.934315, -72.710403)"
Derby Short Stop 113,4486 US Rt. 5,,Derby,VT,5829,,ORLEANS ,"(44.951668, -72.159531)"
Milton Short Stop 122,"250 Route 7, Redwood Plaza",,Milton,VT,5468,,CHITTENDEN ,"(44.622623, -73.12133)"
Alburg Village Mobil 135,36 N Main St,,Alburgh,VT,5440,9725,GRAND ISLE ,"(44.980644, -73.298088)"
Barre-Berlin Mobil 137,1097 US Route 302,,Barre,VT,5641,2355,WASHINGTON ,"(44.224335, -72.551033)"
Bakersfield Short Stop 141,446 Main Street,,Bakersfield,VT,5441,,FRANKLIN ,"(44.788422, -72.79969)"
Bennington Shell 145,110 Northside Dr,,Bennington,VT,5201,1860,BENNINGTON ,"(42.89542, -73.203743)"
St. Albans Go Go Mart 157,277 N Main St,,Saint Albans,VT,5478,2501,FRANKLIN ,"(44.823544, -73.080963)"
Alburg Go Go Mart 158,316 US Route 2 N,,Alburgh,VT,5440,9730,GRAND ISLE ,"(44.999172, -73.329201)"
Johnson Jolley 305,25 VT Route 15 W,,Johnson,VT,5656,8913,LAMOILLE ,"(44.635811, -72.692322)"
Moretown General 321,Route 100 B,,Moretown,VT,5660,667,WASHINGTON ,"(44.240273, -72.775368)"
Walgreens 01756,10 Woodstock Ave,,Rutland,VT,5701,3514,RUTLAND ,"(43.610813, -72.971634)"
Kinney Drugs 101,80 S Main St,Ste 2,Waterbury,VT,5676,1540,WASHINGTON ,"(44.334862, -72.753387)"
Mountain Greens Market,25 Mountain View St,,Bristol,VT,5443,1312,ADDISON ,"(44.134537, -73.076019)"
Rite Aid 10314,194 North St,,Bennington,VT,5201,1874,BENNINGTON ,"(42.881031, -73.197037)"
Rite Aid 10319,321 Main St,,Winooski,VT,5404,1380,CHITTENDEN ,"(44.498001, -73.184479)"
Rite Aid 10320,1 Prince Ln,,Bristol,VT,5443,1224,ADDISON ,"(44.133526, -73.078049)"
Rite Aid 10321,1184 Prim Rd Ste 2,,Colchester,VT,5446,4449,CHITTENDEN ,"(44.53783, -73.246849)"
Rite Aid 10322,221 Main St,,Enosburg Falls,VT,5450,6109,FRANKLIN ,"(44.905556, -72.805992)"
Rite Aid 10323,75 Pearl St,,Essex Junction,VT,5452,3625,CHITTENDEN ,"(44.493996, -73.119041)"
Rite Aid 10324,201 US Route 7,,Milton,VT,5468,31,CHITTENDEN ,"(44.625332, -73.117836)"
Rite Aid 10327,108 Cornerstone Dr,,Williston,VT,5495,4034,CHITTENDEN ,"(44.44762, -73.103767)"
Rite Aid 10330,48 Congress St,,Morrisville,VT,5661,6032,LAMOILLE ,"(44.561043, -72.598137)"
Rite Aid 10332,7 West St,,Rutland,VT,5701,3258,RUTLAND ,"(43.608627, -72.973244)"
Rite Aid 10333,1 Union St,,Brandon,VT,5733,1127,RUTLAND ,"(43.797401, -73.087753)"
Rite Aid 10334,263 Court St,,Middlebury,VT,5753,8986,ADDISON ,"(44.002907, -73.154274)"
Rite Aid 10336,82 VT Route 15 W,,Hardwick,VT,5843,9454,CALEDONIA ,"(44.507896, -72.360809)"
Rite Aid 10337,412 Broad St,,Lyndonville,VT,5851,8623,CALEDONIA ,"(44.525841, -72.000717)"
Rite Aid 01174,294 MAIN STREET,,WEST RUTLAND,VT,5777,,RUTLAND ,"(43.593456, -73.043709)"
Rite Aid 01363,4993 Main St Ste A,,Manchester Center,VT,5255,9768,BENNINGTON ,"(43.177505, -73.054832)"
Rite Aid 03201,62 Washington Street Ext,,Fair Haven,VT,5743,4402,RUTLAND ,"(43.600822, -73.273338)"
Rite Aid 04581,29 Main St,,Montpelier,VT,5602,3174,WASHINGTON ,"(44.258995, -72.576218)"
Rite Aid 04827,9 Susie Wilson Rd,,Essex Junction,VT,5452,2814,CHITTENDEN ,"(44.504547, -73.137573)"
"Champlain Islands Farmers Market, Inc.",Route 2,Multiple locations for outdoor market,Grand Isle,VT,5458,,GRAND ISLE ,"(44.680084, -73.31591)"
Hannaford 8408,139 1st St,,Swanton,VT,5488,8963,FRANKLIN ,"(44.921474, -73.11174)"
Hannaford 8409,71 Supermarket Dr,,Brandon,VT,5733,1180,RUTLAND ,"(43.797222, -73.090286)"
Cedar Circle Farm DF,225 Pavillion Rd,,East Thetford,VT,5043,9604,ORANGE ,"(43.806419, -72.189262)"
"The Vermont Farmers Market, Inc. FM",Depot Park,,Rutland,VT,5701,,RUTLAND ,"(43.633873, -72.927414)"
Alburgh Beverage Mart LLC,2 N Main St,,Alburgh,VT,5440,9725,GRAND ISLE ,"(44.976967, -73.299789)"
"Burlington New North End Farmers Market, Inc.",North Avenue,,Burlington,VT,5408,,CHITTENDEN ,"(44.494953, -73.230614)"
Windsor Farmers' Market FM,40 State Street,,Windsor,VT,5089,,WINDSOR ,"(43.480419, -72.387451)"
Market on the Green,Village Green,,Woodstock,VT,5091,486,WINDSOR ,"(43.637905, -72.562225)"
Richmond Farmers' Market,Volunteers Green,,Richmond,VT,5477,,CHITTENDEN ,"(44.391376, -72.988983)"
Orleans One Stop Mini Mart,115 Main St,,Orleans,VT,5860,1111,ORLEANS ,"(44.809372, -72.204643)"
Family Dollar 1613,2 Chester Rd,Ste 17,Springfield,VT,5156,2953,WINDSOR ,"(43.303715, -72.492638)"
Family Dollar 2621,120 Depot St,,Bennington,VT,5201,1883,BENNINGTON ,"(42.880108, -73.198837)"
Family Dollar 2964,65 Northgate Plz,Ste 13,Morrisville,VT,5661,5900,LAMOILLE ,"(44.57169, -72.594238)"
Family Dollar 3204,Old Route 4A - Westway Mall,,West Rutland,VT,5777,,RUTLAND ,"(43.593376, -73.04351)"
Family Dollar 5879,105 Lake St,,Saint Albans,VT,5478,2218,FRANKLIN ,"(44.810989, -73.086731)"
Family Dollar 6008,69 Jayview Dr,,Enosburg Falls,VT,5450,5164,FRANKLIN ,"(44.912487, -72.79689)"
Family Dollar 6907,406 VT Route 12 N,,Randolph,VT,5060,9310,ORANGE ,"(43.938087, -72.654312)"
Family Dollar 7483,266 Main St,,Newport,VT,5855,5039,ORLEANS ,"(44.935078, -72.211533)"
Family Dollar 7832,76 Main St,,Orleans,VT,5860,1128,ORLEANS ,"(44.80962, -72.204224)"
Thetford Center Village Store,3956 Route 113,,Thetford Center,VT,5075,9801,ORANGE ,"(43.832802, -72.247795)"
Circle K 7404,14 Missing Link Rd,,Springfield,VT,5156,9224,WINDSOR ,"(43.264217, -72.43737)"
Rite Aid 00297,896 Putney Rd,Unit 6,Brattleboro,VT,5301,8844,WINDHAM ,"(42.878963, -72.559647)"
Rite Aid 10315,499 Canal St,Ste 3,Brattleboro,VT,5301,3421,WINDHAM ,"(42.838814, -72.565277)"
