Incident ID,Incident Date/Time,Agency,Incident Type,Town of Incident,County of Incident,County of Arrest,Arrest Statute,Arresting Agency,Arrestee Gender,Arrestee Age,Count
13C200368,01/30/2013 06:03:00 PM,VSP: New Haven,Drive/Operate Under Influence|Accident - Property|C&N Operation,Starksboro,Addison,Addison,23V1201,VSP: New Haven,Male,21,1
13A200516,01/30/2013 09:15:00 PM,VSP: Saint Albans,Drive/Operate Under Influence|Drugs - Possession|Accident - Property,Fairfax,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,52,1
13C200405,02/01/2013 07:30:00 PM,VSP: New Haven,Traffic Stop|Accident - Property|Drive/Operate Under Influence,Starksboro,Addison,Addison,23V1201,VSP: New Haven,Female,36,1
13A300464,02/02/2013 02:20:00 AM,VSP: Middlesex,Drive/Operate Under Influence|Accident - Property,Waterbury,Washington,Washington,23V1201,VSP: Middlesex,Male,29,1
13C200425,02/03/2013 01:00:00 AM,VSP: New Haven,Drive/Operate Under Influence|Traffic Stop|Traffic Stop|Accident - Injury,Lincoln,Addison,Addison,23V1201,VSP: New Haven,Female,22,1
13B100411,02/03/2013 02:30:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence|Accident - Property,St. Johnsbury,Caledonia,Caledonia,23V1201A1#1,VSP: Saint Johnsbury,Male,36,1
13A300487,02/03/2013 05:56:00 PM,VSP: Middlesex,Drive/Operate Under Influence|DLS|Accident - Property,Williamstown,Orange,Orange,23V1201,VSP: Middlesex,Male,24,1
13C200486,02/08/2013 05:58:00 PM,VSP: New Haven,Accident - Property|Drive/Operate Under Influence|DLS|C&N Operation,Waltham,Addison,Addison,23V1201,VSP: New Haven,Male,44,1
13A300598,02/09/2013 04:20:00 PM,VSP: Middlesex,Drive/Operate Under Influence|Accident - Injury,Woodbury,Washington,Washington,23V1201,VSP: Middlesex,Female,41,1
13A300602,02/09/2013 05:20:00 PM,VSP: Middlesex,Drive/Operate Under Influence|Accident - Injury,East Montpelier,Washington,Washington,23V1201,VSP: Middlesex,Male,54,1
13A100585,02/10/2013 08:26:00 PM,VSP: Williston,Citizen Dispute|Drive/Operate Under Influence|Accident - Property,Cambridge,Lamoille,Lamoille,23V1201,VSP: Williston,Female,37,1
13A100598,02/11/2013 08:23:00 PM,VSP: Williston,Accident - Property|Drive/Operate Under Influence|Accident - Property,Colchester,Chittenden,Chittenden,23V1201,VSP: Williston,Male,26,1
13C200522,02/11/2013 10:06:00 PM,VSP: New Haven,Accident - Property|Drive/Operate Under Influence|Accident - Property|C&N Operation,Ferrisburgh,Addison,Addison,23V1201,VSP: New Haven,Male,24,1
13C100853,02/12/2013 09:56:00 PM,VSP: Rutland,Accident - Property|Drive/Operate Under Influence,Pawlet,Rutland,Rutland,23V1201,VSP: Rutland,Male,48,1
13B100538,02/14/2013 04:04:00 PM,VSP: Saint Johnsbury,Accident - Property|Drive/Operate Under Influence,Sheffield,Caledonia,Caledonia,23V1201A2#1,VSP: Saint Johnsbury,Female,43,1
