Incident ID,Incident Date/Time,Agency,Incident Type,Town of Incident,County of Incident,County of Arrest,Arrest Statute,Arresting Agency,Arrestee Gender,Arrestee Age,Count
16C301218,04/17/2016 10:06:00 PM,VSP: Shaftsbury,Drive/Operate Under Influence|Traffic Stop,Pownal,Bennington,Bennington,23V1201,VSP: Shaftsbury,Male,59,1
16D200936,04/18/2016 07:45:00 PM,VSP: Brattleboro,Drive/Operate Under Influence|Drugs - Possession,Guilford,Windham,Windham,23V1201,VSP: Brattleboro,Male,19,1
16A201743,04/18/2016 08:59:00 PM,VSP: Saint Albans,Accident - Property|K9|Drive/Operate Under Influence,Swanton,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,80,1
16A101860,04/18/2016 11:15:00 PM,VSP: Williston,Drive/Operate Under Influence,Cambridge,Lamoille,Lamoille,23V1201,VSP: Williston,Female,24,1
16A101874,04/20/2016 09:11:00 AM,VSP: Williston,Drugs - Possession|Other|Drive/Operate Under Influence,Underhill,Chittenden,Chittenden,23V1201,VSP: Williston,Female,28,1
16A101874,04/20/2016 09:11:00 AM,VSP: Williston,Drive/Operate Under Influence|Other|Drugs - Possession,Underhill,Chittenden,Chittenden,23V1201,VSP: Williston,Female,28,1
16B201319,04/20/2016 04:15:00 PM,VSP: Derby,Traffic Stop|Drive/Operate Under Influence,Barton,Orleans,Orleans,23V1201A1#1,VSP: Derby,Female,49,1
16B300769,04/21/2016 09:00:00 PM,VSP: Bradford,Drive/Operate Under Influence|Accident - Property,Fairlee,Orange,Orange,23V1201,VSP: Bradford,Male,32,1
16D200964,04/21/2016 09:06:00 PM,VSP: Brattleboro,Drive/Operate Under Influence,Brattleboro,Windham,Windham,23V1201A1#2,VSP: Brattleboro,Male,51,1
16C102000,04/22/2016 02:18:00 AM,VSP: Rutland,Drive/Operate Under Influence,Rochester,Windsor,Windsor,23V1201,VSP: Rutland,Male,45,1
16A201811,04/22/2016 01:17:00 PM,VSP: Saint Albans,Drive/Operate Under Influence,St. Albans Town,Franklin,Franklin,23V1201,VSP: Saint Albans,Female,34,1
16D301298,04/22/2016 08:28:00 PM,VSP: Royalton,Drive/Operate Under Influence,Hartland,Windsor,Windsor,23V1201,VSP: Royalton,Male,33,1
16C201070,04/23/2016 01:30:00 AM,VSP: New Haven,Drive/Operate Under Influence,Leicester,Addison,Addison,23V1201,VSP: New Haven,Male,41,1
16B101281,04/23/2016 03:14:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence,Lyndon,Caledonia,Caledonia,23V1201,VSP: Saint Johnsbury,Male,34,1
16D200981,04/23/2016 03:26:00 PM,VSP: Brattleboro,Drive/Operate Under Influence|Accident - Injury|Arrest on Warrant|Liquor Violations,Newfane,Windham,Windham,23V1201A1#2,VSP: Brattleboro,Male,26,1
16D200981,04/23/2016 03:26:00 PM,VSP: Brattleboro,Drive/Operate Under Influence|Accident - Injury|Arrest on Warrant|Liquor Violations,Newfane,Windham,Windham,23V1201A1#2,VSP: Brattleboro,Female,20,1
16D301311,04/23/2016 09:53:00 PM,VSP: Royalton,Drive/Operate Under Influence,Royalton,Windsor,Windsor,23V1201,VSP: Royalton,Male,49,1
16B101288,04/23/2016 11:00:00 PM,VSP: Saint Johnsbury,Drive/Operate Under Influence|Traffic Stop,St. Johnsbury,Caledonia,Caledonia,23V1201A1#2,VSP: Saint Johnsbury,Male,36,1
16D301313,04/24/2016 01:19:00 AM,VSP: Royalton,Drive/Operate Under Influence,Hartford,Windsor,Windsor,23V1201,VSP: Royalton,Female,54,1
16B101289,04/24/2016 02:20:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence,Lyndon,Caledonia,Caledonia,23V1201A1#1,VSP: Saint Johnsbury,Male,24,1
16A201845,04/24/2016 03:15:00 AM,VSP: Saint Albans,Drive/Operate Under Influence,Georgia,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,21,1
16D301342,04/26/2016 07:27:00 PM,VSP: Royalton,Drive/Operate Under Influence,Hartford,Windsor,Windsor,23V1201,VSP: Royalton,Male,58,1
16A301716,04/26/2016 10:39:00 PM,VSP: Middlesex,Drive/Operate Under Influence|Accident - Property,Marshfield,Washington,Washington,23V1201,VSP: Middlesex,Male,39,1
16C201111,04/27/2016 01:56:00 PM,VSP: New Haven,Drive/Operate Under Influence,Ferrisburgh,Addison,Addison,23V1201A3#1,VSP: New Haven,Male,45,1
16C102077,04/27/2016 10:26:00 PM,VSP: Rutland,Drive/Operate Under Influence,Castleton,Rutland,Rutland,23V1201,VSP: Rutland,Male,24,1
16B101342,04/29/2016 01:00:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence,Lyndon,Caledonia,Caledonia,23V1201,VSP: Saint Johnsbury,Male,23,1
16C201148,04/30/2016 12:24:00 AM,VSP: New Haven,Drive/Operate Under Influence,Salisbury,Addison,Addison,23V1201,VSP: New Haven,Female,19,1
16B101358,04/30/2016 01:00:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence,Lyndon,Caledonia,Caledonia,23V1201A1#1,VSP: Saint Johnsbury,Male,21,1
