Building Name,Building No.,Building Address,Town,Electrical (kWh),Electrical ($),Natural Gas (ccf),Natural Gas ($),Propane (gal),Propane ($),No. 1 Oil (gal),No. 1 Oil ($),No. 2 Oil (gal),No. 2 Oil ($),No. 6 Oil (gal),No. 6 Oil ($),Wood Chunk (cord),Wood Chunk ($),Wood Chip (ton),Wood Chip ($),Wood Pellet (ton),Wood Pellet ($),Biodiesel Blend (B20) (gal),Biodiesel Blend (B20) ($),Diesel (gal),Diesel ($),Gasohol (gal),Gasohol ($), BLDG TOTAL ($),Year,Location
CRCF,6172,7 Farrell St,South Burlington,,,,,,,,,,,,,,,,,,,,,250.40,$938.75,,,$938.75,01/01/2013 12:00:00 AM,"7 Farrell St
South Burlington, VT
(44.44626522700048, -73.20447875099967)"
15 Green Mountain Dr,6029,15 Green Mountain Dr,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"15 Green Mountain Dr
Montpelier, VT
(44.23414045700048, -72.55621807299963)"
Public Safety Building,6242,2490 Ethan Allen Hwy,New Haven,152419.00,$23966.23,,,626.50,$2002.97,,,1858.70,$6613.30,,,,,,,,,,,,,,,$32582.50,01/01/2013 12:00:00 AM,"2490 Ethan Allen Hwy
New Haven, VT
(44.08327923000047, -73.17642245699966)"
126 State St,6022,126 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"126 State St
Montpelier, VT
(44.26151273400046, -72.58169725399966)"
Highgate Springs Welcome Center,10,6052 Rte 7,Highgate,23223.00,$2736.78,,,241.00,$504.01,,,797.40,$1843.00,,,,,,,,,,,,,,,$5083.79,01/01/2009 12:00:00 AM,"6052 Rte 7
Highgate, VT
(44.9331482820005, -73.11921746799965)"
MVRCF Education,6315,167 State St,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"167 State St
Rutland, VT
(43.6085264240005, -72.99014325899964)"
Gym,6221,26 Woodside Dr East,Essex,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"26 Woodside Dr East
Essex, VT
(44.501563055000474, -73.14590593299965)"
Osgood Building,6350,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Troop Headquarters,6295,2011 VT Rte 107,Royalton,124593.00,$18623.12,,,161.70,$217.49,,,2237.50,$5478.61,,,,,,,,,,,,,,,$24319.22,01/01/2010 12:00:00 AM,"2011 VT Rte 107
Royalton, VT
(43.82341148100045, -72.60459188999965)"
Training Building & Gym,6276,317 Academy Rd,Pittsford,10902.00,$1411.58,,,,,,,,,,,,,,,,,,,,,,,$1411.58,01/01/2012 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
Shop & Storage,6013,10 Taylor St,Montpelier,,,,,,,,,518.10,$1296.95,,,,,,,,,,,,,,,$1296.95,01/01/2010 12:00:00 AM,"10 Taylor St
Montpelier, VT
(44.25962576800049, -72.57997604299965)"
Cold Storage (Pole Barn),6281,62 Dorfner Rd,Pittsford,53261.00,$14688.30,,,,,,,,,,,,,,,,,,,,,,,$14688.30,01/01/2013 12:00:00 AM,"62 Dorfner Rd
Pittsford, VT
(43.71652004500049, -73.01953819899967)"
CCWC Maintenance,6348,1266 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"1266 US Rte 5
St. Johnsbury, VT
(44.335513335000485, -72.04233839099965)"
MVRCF Education,6315,167 State St,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"167 State St
Rutland, VT
(43.6085264240005, -72.99014325899964)"
126 State St,6022,126 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"126 State St
Montpelier, VT
(44.26151273400046, -72.58169725399966)"
324 Main St (Bennco),6082,324 Main St,Bennington,161394.00,$25632.44,,,6614.60,$10680.22,,,,,,,,,,,,,,,,,,,$36312.66,01/01/2013 12:00:00 AM,"324 Main St
Bennington, VT
(42.87883538200049, -73.19800713799964)"
Oil Shed,6456,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Gym,6221,26 Woodside Dr East,Essex,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"26 Woodside Dr East
Essex, VT
(44.501563055000474, -73.14590593299965)"
North Connector,6352,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
MVRCF Main Building,6304,167 State St,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"167 State St
Rutland, VT
(43.6085264240005, -72.99014325899964)"
Bradford Welcome Center,2,"I-91 Northbound, Mile Marker 100",Bradford,44693.48,$5267.03,,,1738.20,$2113.01,,,,,,,,,,,,,,,,,,,$7380.04,01/01/2009 12:00:00 AM,"I-91 Northbound, Mile Marker 100
Bradford, VT
(43.992840026000465, -72.12826693699964)"
State Office Building,6430,565 St. George Ave,Williston,330480.00,$41849.68,15740.00,$20116.92,,,,,,,,,,,,,,,,,,,,,$61966.60,01/01/2012 12:00:00 AM,"565 St. George Ave
Williston, VT
(44.44678187000045, -73.11103091699965)"
Heifer Barn,6459,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
NWSCF Auto Shop,6332,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Office,6019,116 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"116 State St
Montpelier, VT
(44.261191759000496, -72.58032689199968)"
62 Pierpont Ave (Former Armory),6314,62 Pierpont Ave,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"62 Pierpont Ave
Rutland, VT
(43.610182042000474, -72.99133420299967)"
Sewage Pump Station,6617,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
123 South Main St,6381,123 South Main St,Waterbury,3706.00,$763.67,,,13.70,$48.62,,,881.90,$3151.61,,,,,,,,,,,,,,,$3963.90,01/01/2012 12:00:00 AM,"123 South Main St
Waterbury, VT
(44.3314876500005, -72.75009542099963)"
CCWC Wood Shed 3,6338,1266 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"1266 US Rte 5
St. Johnsbury, VT
(44.335513335000485, -72.04233839099965)"
Security Lights,,,Guilford,2405.90,$283.53,,,,,,,,,,,,,,,,,,,,,,,$283.53,01/01/2009 12:00:00 AM,"Guilford, VT
(42.81712111100046, -72.57596738699965)"
110 State St,6015,110 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"110 State St
Montpelier, VT
(44.26102238800047, -72.57960677099965)"
Dorm J and K,6134-6135,,Brandon,7742.27,$912.41,,,,,,,,,,,,,,,,,,,,,,,$912.41,01/01/2009 12:00:00 AM,"Brandon, VT
(43.79994246600046, -73.09162926799962)"
B Building,6383,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
BGS Shed,6472,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
120 State St,6020,120 State St,Montpelier,1265800.00,$156319.85,,,,,,,,,,,,,,,,,,,,,,,$156319.85,01/01/2013 12:00:00 AM,"120 State St
Montpelier, VT
(44.26140258300046, -72.58124717799967)"
Central Heat Plant,6021,122 State St,Montpelier,,,,,64.70,$73.11,,,,,,,,,,,,,,,101.80,$229.76,,,$302.87,01/01/2009 12:00:00 AM,"122 State St
Montpelier, VT
(44.26143219300047, -72.58136680399963)"
Troop Headquarters,6400,"464 Marlboro Rd, Rte 9",West Brattleboro,38084.00,$5417.11,,,,,,,1068.30,$3935.49,,,,,,,,,,,,,,,$9352.60,01/01/2012 12:00:00 AM,"464 Marlboro Rd, Rte 9
West Brattleboro, VT
(42.86715236600048, -72.62054588799964)"
Wood Storage Shed 1 (outside fence),6464,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Father Logue Camp Halls, 6613-6615,Hart Rd,Duxbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"Hart Rd
Duxbury, VT
(44.3293600070005, -72.76684821899966)"
Boiler House,6378,103 South Main St,Waterbury,,,,,240.10,$406.01,,,,,173699.73,$519294.17,,,256.13,$13318.76,,,,,,,,,$533018.94,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Former Armory,6314,62 Pierpont Ave,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"62 Pierpont Ave
Rutland, VT
(43.610182042000474, -72.99133420299967)"
Headquarters,6308,McKinley Ave Complex,Rutland,200005.00,$29767.50,,,,,,,,,,,,,,,,,,,,,,,$29767.50,01/01/2012 12:00:00 AM,"McKinley Ave Complex
Rutland, VT
(43.605093197000485, -72.97827833599968)"
Hartford North Information Center,8,"I-91 Northbound, Mile Marker 68.5",Hartford,2318.00,$199.39,,,,,,,,,,,,,,,,,,,,,,,$199.39,01/01/2010 12:00:00 AM,"I-91 Northbound, Mile Marker 68.5
Hartford, VT
(43.660620862000485, -72.33879686499967)"
Radio Shop,6310,McKinley Ave Complex,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"McKinley Ave Complex
Rutland, VT
(43.605093197000485, -72.97827833599968)"
West Office Center Core,6374,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
A Building,6366,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Wood Storage Shed 3 (outside fence),6466,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
NWSCF House,6326,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
McFarland House,6071,5 Perry St,Barre,702560.00,$83450.58,,,,,,,7500.00,$22554.75,,,,,,,,,,,,,,,$106005.33,01/01/2011 12:00:00 AM,"5 Perry St
Barre, VT
(44.19508157000047, -72.49818453599966)"
Training Building & Gym,6276,317 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
CCWC Maintenance,6348,1266 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"1266 US Rte 5
St. Johnsbury, VT
(44.335513335000485, -72.04233839099965)"
NSCF B Building/Gym,6264,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
Troop Headquarters,6252,1078 US Rte 2,Middlesex,44084.00,$7499.61,,,,,,,,,,,,,,,,,,,,,,,$7499.61,01/01/2013 12:00:00 AM,"1078 US Rte 2
Middlesex, VT
(44.30009250600045, -72.69103957499965)"
"1, 2, 3 South",6358,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Central Heat Plant,6021,122 State St,Montpelier,,,,,183.30,$298.52,,,,,114107.61,$382764.85,,,2403.77,$129803.58,,,,,108.10,$369.14,,,$513236.09,01/01/2012 12:00:00 AM,"122 State St
Montpelier, VT
(44.26143219300047, -72.58136680399963)"
Red Storage Building,6286,317 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
State Office,6302,92 State St,Rutland,3719.00,$851.89,,,,,,,,,,,,,,,,,,,,,,,$851.89,01/01/2012 12:00:00 AM,"92 State St
Rutland, VT
(43.60921219700049, -72.98181685999964)"
Mobile Firing Range,,,Pittsford,386.00,$737.54,,,,,,,,,,,,,,,,,,,,,,,$737.54,01/01/2010 12:00:00 AM,"Pittsford, VT
(43.70595230200047, -73.02659763299965)"
Lumber Drying Shed,6449,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
North Connector,6352,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Boiler House,6378,103 South Main St,Waterbury,,,,,441.40,$653.10,,,,,96289.96,$270779.75,,,3278.68,$177048.72,,,,,117.40,$412.82,,,$448894.39,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Maintenance Shop,6442,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
133 State St,6025,133 State St,Montpelier,4767480.00,$567794.72,,,,,,,193.70,$486.49,,,,,,,,,,,,,,,$568281.21,01/01/2010 12:00:00 AM,"133 State St
Montpelier, VT
(44.26168684200047, -72.58222431599967)"
NESCF Program Building,6346,1270 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"1270 US Rte 5
St. Johnsbury, VT
(44.33557262400046, -72.04234201199966)"
SSCF Maintenance,6518,"700 Charlestown Rd, Rte 11",Springfield,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
Main Building,6700,35 Crawford Rd,Derby,216760.00,$30314.01,,,203.80,$363.77,,,4538.10,$15982.64,,,,,,,,,,,314.10,$1048.96,,,$47709.38,01/01/2012 12:00:00 AM,"35 Crawford Rd
Derby, VT
(44.95125482500049, -72.16227769299962)"
Ag/Environmental Lab,6394,103 South Main St,Waterbury,,,,,24.20,$32.55,,,,,,,,,,,,,,,,,,,$32.55,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Pump House,6470,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Cold Storage (Pole Barn),6281,62 Dorfner Rd,Pittsford,59375.00,$14806.61,,,,,,,,,,,,,,,,,,,,,,,$14806.61,01/01/2011 12:00:00 AM,"62 Dorfner Rd
Pittsford, VT
(43.71652004500049, -73.01953819899967)"
Building 1710,6201,394 Hegeman Ave,Colchester,27518.00,$3903.23,3162.00,$4437.08,872.40,$1505.19,492.60,$1353.46,360.90,$833.27,,,,,,,,,,,,,,,$12032.23,01/01/2010 12:00:00 AM,"394 Hegeman Ave
Colchester, VT
(44.5072473780005, -73.14662075999962)"
SSCF DEF Building,6517,"700 Charlestown Rd, Rte 11",Springfield,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
Randolph North Information Center,13,"I-89 Northbound, Mile Marker 34",Randolph,31735.75,$3739.99,,,449.90,$542.56,766.80,$1957.06,,,,,,,,,,,,,,,,,$6239.61,01/01/2009 12:00:00 AM,"I-89 Northbound, Mile Marker 34
Randolph, VT
(43.92281076600045, -72.66551819499966)"
Regional Library,6342,23 Tilton Rd,St. Johnsbury,2471.00,$628.40,,,,,,,373.10,$1294.70,,,,,,,,,,,,,,,,01/01/2013 12:00:00 AM,"23 Tilton Rd
St. Johnsbury, VT
(44.42804427100049, -72.05235856399963)"
Central Services,6250,1078 US Rte 2,Middlesex,676640.00,$84120.53,,,2528.00,$3398.88,,,22110.00,$72162.85,,,,,,,,,,,,,,,$159682.26,01/01/2013 12:00:00 AM,"1078 US Rte 2
Middlesex, VT
(44.30009250600045, -72.69103957499965)"
State Office,6340,US Rte 5,St. Johnsbury,85951.08,$10129.15,,,,,,,1277.00,$2425.92,,,,,,,,,,,,,,,$12555.07,01/01/2009 12:00:00 AM,"US Rte 5
St. Johnsbury, VT
(44.31861223600049, -72.03756742399963)"
Main St/ Park Row Signal,,,Waterbury,2320.00,$558.98,,,,,,,,,,,,,,,,,,,,,,,$558.98,01/01/2012 12:00:00 AM,"Waterbury, VT
(44.33871221600049, -72.75730654699964)"
10 South,6364,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
1 Baldwin St,6003,1 Baldwin St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"1 Baldwin St
Montpelier, VT
(44.262666348000494, -72.58143431499963)"
Shop & Storage,6034,132 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,228.80,$738.98,,,$738.98,01/01/2012 12:00:00 AM,"132 State St
Montpelier, VT
(44.261692764000486, -72.58249672999966)"
Headquarters,6308,McKinley Ave Complex,Rutland,210777.00,$29051.75,,,,,,,,,,,,,,,,,,,,,,,$29051.75,01/01/2011 12:00:00 AM,"McKinley Ave Complex
Rutland, VT
(43.605093197000485, -72.97827833599968)"
NSCF Living Unit D,6267,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
Father Logue Camp Halls, 6613-6615,Hart Rd,Duxbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"Hart Rd
Duxbury, VT
(44.3293600070005, -72.76684821899966)"
Lumber Drying Shed,6449,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Administration Building,6445,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Ladd Hall,6369,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Central Services,6250,1078 US Rte 2,Middlesex,489440.00,$62448.14,,,738.00,$1283.60,,,22514.00,$52084.05,,,,,,,,,,,383.50,$979.07,,,$116794.86,01/01/2010 12:00:00 AM,"1078 US Rte 2
Middlesex, VT
(44.30009250600045, -72.69103957499965)"
Lyndon Information Center,11,"I-91 Southbound, Mile Marker 141",Lyndon,58822.03,$6932.05,,,1985.00,$2328.80,,,,,,,,,,,,,,,,,,,$9260.85,01/01/2009 12:00:00 AM,"I-91 Southbound, Mile Marker 141
Lyndon, VT
(44.51443295600046, -72.01197727799968)"
District Court,6420,82 Railroad Row,White River Junction,280440.00,$39657.92,,,,,,,7001.00,$23199.91,,,,,,,,,,,,,,,$62857.83,01/01/2012 12:00:00 AM,"82 Railroad Row
White River Junction, VT
(43.64870988700045, -72.31780606599966)"
Creosote Plant,6458,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
NESCF Main Building,6341,1270 US Rte 5,St. Johnsbury,,,,,11.00,$16.05,,,,,,,,,,,,,,,,,,,$16.05,01/01/2010 12:00:00 AM,"1270 US Rte 5
St. Johnsbury, VT
(44.33557262400046, -72.04234201199966)"
NWSCF Green Houses,6335,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Logue Cottage,6393,103 South Main St,Waterbury,,,,,999.60,$1974.52,,,,,,,,,,,,,,,,,,,$1974.52,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Regional Library,6090,578 Paine Turnpike,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"578 Paine Turnpike
Berlin, VT
(44.21736386700047, -72.57240911399964)"
Old Generator Building,6287,317 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
118 State St,6030,118 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"118 State St
Montpelier, VT
(44.26131256800045, -72.58085750699962)"
BGS Maintenance Shop/Old House,6457,546 State Farm Rd,Windsor,,,,,,,,,1432.10,$4855.23,,,,,,,,,,,,,,,$4855.23,01/01/2013 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Maintenance Shop,6442,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
NWSCF Futures Storage Shed,6329,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Eternal Flame,,,Sharon,,,,,103.20,$157.48,,,,,,,,,,,,,,,,,,,$157.48,01/01/2010 12:00:00 AM,"Sharon, VT
(43.783681207000484, -72.45679705999964)"
West Cottage,6277,317 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
Troop Headquarters,6290,1987 Rockingham Rd,Rockingham,130274.00,$15252.98,,,2841.70,$4662.18,,,,,,,,,,,,,,,50.50,$134.29,,,$20049.45,01/01/2010 12:00:00 AM,"1987 Rockingham Rd
Rockingham, VT
(43.22609242100049, -72.54181107699964)"
NSCF Living Unit E,6530,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
NSCF Grinder Building,6532,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
Georgia North Information Center,9827,5200 Rte 89 North,Georgia,34009.00,$5948.64,,,1335.50,$1981.87,,,,,,,,,,,,,,,,,,,$7930.51,01/01/2013 12:00:00 AM,"5200 Rte 89 North
Georgia, VT
(44.70425780400046, -73.10441586099967)"
Randolph South Information Center,9437,"I-89 Southbound, Mile Marker 33.5",Randolph,37080.00,$4452.48,,,,,682.80,$2763.36,,,,,,,,,3.00,$773.50,,,,,,,$7989.34,01/01/2012 12:00:00 AM,"I-89 Southbound, Mile Marker 33.5
Randolph, VT
(43.92281076600045, -72.66551819499966)"
NWSCF 50 Bed Satellite Unit,6331,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Firehouse,6272,92 Dorfner Rd,Pittsford,,,,,7366.60,$9662.32,,,,,,,,,,,,,,,,,,,$9662.32,01/01/2013 12:00:00 AM,"92 Dorfner Rd
Pittsford, VT
(43.71652004500049, -73.01953819899967)"
Garage by Logue Cottage,6619,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Security Lights,6279,405 Academy Rd,Pittsford,4934.30,$901.24,,,,,,,,,,,,,,,,,,,,,,,,01/01/2013 12:00:00 AM,"405 Academy Rd
Pittsford, VT
(43.71565745300046, -73.01878346699965)"
109 State St & Connector,6014,109 State St,Montpelier,,,,,2707.70,$4879.47,,,,,,,,,,,,,,,46.30,$157.88,,,$5037.35,01/01/2012 12:00:00 AM,"109 State St
Montpelier, VT
(44.261056736000455, -72.57951438699968)"
NSCF A-2 Admin/Seg/Dining,6263,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
4 North,6353,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Cow Barn,6460,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Maintenance Storage,6440,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
115 State St & Annex,6018,115 State St,Montpelier,,,,,2821.80,$4277.23,,,,,,,,,,,,,,,,,,,$4277.23,01/01/2009 12:00:00 AM,"115 State St
Montpelier, VT
(44.26121367000047, -72.58017538999962)"
Motor Vehicles,6307,McKinley Ave Complex,Rutland,48659.00,$6077.90,,,,,,,1725.00,$5845.19,,,,,,,,,,,,,,,$11923.09,01/01/2013 12:00:00 AM,"McKinley Ave Complex
Rutland, VT
(43.605093197000485, -72.97827833599968)"
